title,genre,platform,keyword,multiplayer_mode,release_date,storyline,total_rating,total_rating_count
The Last of Us Remastered,"5,31",48,"69,159,161,283,4282,5850",,1406332800,"Twenty years after a mutated fungus started turning people all over the world into deadly zombies, humans become an endangered species. Joel, a Texan in his forties with the ""emotional range of a teaspoon"" (to quote Hermione from Harry Potter), finds himself responsible with the safety of a fourteen year old girl named Ellie whom he must smuggle to a militia group called the Fireflies. And as if the infected aren't enough of a hassle, they also have to deal with the authorities who wouldn't let them leave the quarantine zone, as well as other survivors capable of killing anyone who might have something useful in their backpacks.",95.38565481553262,1650
Baldur's Gate III,"12,15,16","170,169,6,167,14","72,98,109,129,151,182,223,226,415,422,510,537,1069,1308,1313,1345,1884,1923,1931,1961,2228,2242,2377,3534,3586,4248,4272,4284,4399,4471,4823,4850,4855,4998,9005,9181,12083,17092,25527,25963,27054,39024,39033,39034,39039,39041,39046,43103,43481,43861","24930,25469",1691020800,"The land of Faerûn is in turmoil. Refugees cross the wilds, fleeing the helltorn stronghold of Elturel. A vicious cult marches across the Sword Coast, uniting every race of monsters and men under the banner of a cryptic god they call the Absolute. Chaos strikes at Faerûn's foundations, and none may escape its talons. Not even you.  The grotesque nautiloid ship appears out of nowhere, blotting out the sun. Its writhing tentacles snatch you from where you stand. The mind flayers have come, imprisoning you on their ship, infecting you with their horrid parasite. You will become one of them.  By fate or fortune, you survive when the nautiloid crashes in the Sword Coast outlands. You set out for civilisation, desperate for a cure for the parasite festering in your brain, only to take centre stage in a conspiracy that runs as deep as the Nine Hells. New enemies await.  As for old foes... the shadows stir. And all roads lead to the legendary city of Baldur's Gate.",95.26745555572325,1166
The Legend of Zelda: Breath of the Wild,"9,31","41,130","64,69,510,701,758,1033,1181,1309,1381,1524,1632,1710,2141,2177,2209,2229,2242,2280,2324,2451,2452,2472,2823,3433,4179,4221,4266,4285,4359,4392,4397,4399,4438,4466,4523,4578,4717,4767,4843,4852,4918,4928,4931,5000,5023,5308,5323,5651,5896,6213,6221,6653,6795,6870,7080,7416,7423,7612,8969,9604,9605,12083,12087,12556,14051,15076,23933,39007,39008,39009,39011,39023,39024,39025,39046,39049,39050,42064",,1488499200,"Link is awakened in a room by a voice calling him and learns that he has been asleep for 100 years after failing to stop a monster called Calamity Ganon. Although the monster is being held in Hyrule Castle by Princess Zelda, Calamity Ganon's power continues to grow and if not stopped he will eventually break free with enough power to destroy the entire world. Link embarks on his quest to defeat Calamity Ganon and save Hyrule and Zelda.",95.10382463031704,2708
Metal Gear Solid 3: Subsistence,"5,24,31",8,,,1135209600,"Metal Gear Solid 3: Subsistence continues the Metal Gear Solid series tradition of follow-up enhanced, international version releases. Subsistence's online multiplayer component, titled Metal Gear Online, consists of five tournament-style game modes, each with a capacity of up to eight players. This mode pits players, each playing as a generic soldier against each other in deathmatch battles and variations of capture the flag, using stages, items, maneuvers, and units (such as the KGB, GRU or Ocelot Unit) from the main game.",94.82626406569034,341
Metal Gear Solid 3: Snake Eater - HD Edition,"5,24,31","169,9,48,34,6,167,46,12,130","563,1638,5323,7110,8983",,1320710400,"A remastered version of Metal Gear Solid 3: Snake Eater, featuring updated controls and graphical improvements.",94.73360427675723,51
Final Fantasy III,"12,31","19,5,41,137,58","69,164,167,226,236,253,415,497,521,558,906,953,962,992,1032,1186,1208,1209,1289,1302,1317,1440,1523,1528,1638,1675,1705,1881,1898,1923,2052,2170,2242,2415,2472,3002,3486,3831,4249,4250,4284,4285,4352,4353,4388,4392,4398,4399,4405,4406,4468,4471,4522,4541,4545,4709,4787,4843,4850,4852,4855,4857,4862,4878,4879,4891,4962,4974,4984,4998,5018,5105,5183,5287,5288,5307,5319,5323,5329,5387,5411,5466,5517,5564,5591,5593,5594,5600,5626,5659,5675,5703,5735,5801,5803,5911,5936,5963,5971,5989,6064,6065,6066,6084,6088,6189,6221,6298,6304,6326,6391,6461,6462,6471,6541,6542,6603,6620,6642,6716,6745,6813,6857,7075,7112,7166,7185,7195,7215,7304,7423,7467,7529,7590,7627,7688,8784,8866,8974,8983,9005,9182,9283,9322,9328,9329,9349,9374,9474,9557,9628,9637,9695,9781,9843,10348,10856,12242,12357,26906,27629,29745,30367,30490,30703,39459",,765244800,"Final Fantasy III focuses on a conflict between the Gestahlian Empire conquering the world and a rebel faction opposed to them known as the Returners, taking place in a fantasy steampunk-style world. The Empire has acquired great power by experimenting on captured espers, magical creatures of legend. The Returners seek magical power to fight the Empire on equal terms, and an amnesiac former imperial soldier, Terra Branford, proves key to both sides for understanding magic and espers.",94.64378409667685,725
Super Smash Bros. Melee,"4,8",21,"249,394,701,982,1075,1655,3336,4263,4494,5897,6134,6385,7195,8290,9641,9676,10740,26906,42805",14702,1006300800,"Super Smash Bros. Melee is the second installment in the Super Smash Bros. series and the follow-up to the Nintendo 64 title. It includes all playable characters from the first game, and also adds characters from franchises such as Fire Emblem, of which no games had been released outside Japan at the time. Super Smash Bros. Melee builds on the first game by adding new gameplay features and playable characters: it's major focus is the multiplayer mode, while still offering a number of single-player modes.",94.5408623523956,1022
The Legend of Zelda: Tears of the Kingdom,"9,31",130,"64,227,510,703,758,2071,2199,2209,2823,3433,4179,4392,6246,12083,23933,38071,39008,39009,39023,39024,39049,42064,48594",,1683849600,"While exploring the caves underneath Hyrule Castle to investigate the origins of the gloom (a dangerous substance which appeared all over the kingdom), Link and Zelda not only find old archeological remains of the Zonai, an ancient race said to have descended from the sky, but also an maleficent mummy held by a bodiless arm, who suddenly reanimates, defeats Link, breaks the Master Sword and rise large structures, once found underground, to the skies above Hyrule, with Zelda vanishing with a spark from a strange amulet found on the site. Some time later, Link awakens in an unknown place on a floating sky island and meets a mysterious spirit called Rauru, which transplanted his arm (the same arm which was holding the mummy) onto Link, since his right arm was beyond saving. Guided by this new ally, Link sets out in an adventure to protect Hyrule, find Princess Zelda and uncover the mysteries of the Zonai.",94.30119175753552,744
God of War,"12,25,31","48,6","35,72,109,283,367,510,537,574,840,926,953,977,1884,1971,2202,3222,3486,4221,4392,4622,5792,12083,12087,12556,14051,17268,17271,23933,25805,39008,39009,39011,39023,39025,39034,39038,39046,41556,44373",,1524182400,"Many years have passed since Kratos, Spartan warrior and former Greek God of War, took his vengeance against the Greek Gods, and he now lives with his young son Atreus in ancient Norway in the realm of Midgard. The game begins after the death of the Jötunn warrior Faye, Kratos' second wife and Atreus' mother, whose last request was for her ashes to be spread at the highest speak of the nine realms. Kratos and Atreus prepare a funeral pyre for her, mourn her death and soon go on a hunt as per Kratos' desire. However much to Kratos' disappointment, Atreus proves his incompetence and lack of focus, making Kratos reconsider taking Atreus in his journey. Kratos is soon attacked by a mysterious stranger with godlike powers, and who cannot feel anything physically. After seemingly killing him, Kratos reluctantly takes Atreus with him and begins their journey.",94.25741242898512,3118
The Witcher 3: Wild Hunt - Blood and Wine,"12,31","169,48,6,167,49,130","151,537,12556,14051,14059,26010,39040,39041",,1464566400,"Blood and Wine is the second major expansion to The Witcher 3: Wild Hunt.  The players will accompany Geralt of Rivia to the region of Toussaint, one of the few places in the Witcher universe which has remained largely untouched by the war. The calm, laid-back atmosphere holds a dark and bloody secret that only the White Wolf can uncover; the expansion features new items for players to collect on their adventure and introduces previously unknown characters.",94.13762775367343,463
Persona 5 Royal,"12,31","169,48,6,167,49,130","521,1209,1313,1868,2377,2399,7097,23933,25963,30239",,1572480000,An enhanced version of Persona 5 with some new characters and a third semester added to the game. Released Internationally in 2020.,94.13166098926314,627
Super Mario Galaxy,"8,31","5,41","78,974,1297,2071,2555,4263,4396,4711,4918,4940,5727,6137,6193,6230,7243,25315,26965,29428,42064","35120,35124",1193875200,"Every hundred years, a huge comet flies by in the skies above the Mushroom Kingdom. One year, that comet filled the entire sky, and from it fell a stream of shooting stars. The Toads scooped up the Star Bits and brought them to the castle, where they were reborn as a great Power Star. It was a happy time in the Mushroom Kingdom. Then one night Mario received a letter...  “Dear Mario, I’ll be waiting for you at the castle on the night of the Star Festival. There’s something I’d like to give you. from Peach”  With invitation in hand, Mario headed off to the castle just as the Star Festival was getting into full swing. Surrounded by Toads gleefully trying to catch falling Star Bits, Mario was looking forward to the night’s festivities. But then, something happened...",93.75608537892465,1177
Super Mario World 2: Yoshi's Island,8,"306,19,58","87,1059,2165,4134,6539,25264,26191,30703,38944,39459,42805",26619,807580800,"A stork carrying the infant Mario Brothers is attacked by Kamek the Magikoopa, who steals Baby Luigi and knocks Baby Mario out of the sky. Baby Mario lands on Yoshi's Island on the back of Yoshi himself. With the help of his seven other Yoshi friends, Yoshi must traverse the island to safely reunite Baby Mario with his brother and get the babies to their parents.",93.69489192996316,669
Metroid Prime,"5,8,31",21,"3,4,16,72,129,137,477,558,947,962,1033,1158,1289,1299,1313,1440,1710,3486,3831,4138,4213,4282,4285,4359,4396,4397,4405,4493,4541,4613,4621,4709,4760,4781,4790,4877,4885,4903,4918,4928,4940,4993,4999,5029,5209,5277,5300,5323,5358,5441,5535,5612,5673,5699,5703,5802,5844,5904,5962,5967,6055,6062,6096,6127,6137,6189,6304,6326,6340,6735,6864,7221,7343,7344,7416,7568,7593,7595,7603,8308,8311,8802,9431,9529,10172,10336,10502,10554,11926,13223,15306,15558,26906,37362,42805",,1037491200,"A 3D exploration-focused metroidvania with first-person shooting mechanics and the first 3D entry in the Metroid series, Metroid Prime follows Samus Aran after the events of Metroid (1986) as she boards a Space Pirate frigate, then chases her escaping archrival Ridley into the intricately structured Tallon IV, a planet full of deadly wildlife and former home to the advanced and ancient Chozo race.",93.67319408941142,828
Batman: Arkham City - Game of the Year Edition,"25,31","9,6,14,12","2777,4310,25974,25975",,1338249600,"Prologue New Arkham City inmate and rising warlord, Two-Face devises a plan to publicly execute fellow prisoner Catwoman after she tries to steal back some of her ill-gotten gains from his hideout. Meanwhile, Gotham City itself has degenerated into a police state managed by Mayor Sharp, where citizens with the slightest trace of a criminal record find themselves shipped to the prison district. Those who dare to challenge Sharp's policies are the target of arranged disappearances, becoming political prisoners trapped behind Arkham's walls. Among these is Bruce Wayne, who holds a rally attacking the proposal of turning half his city into a walled-off reserve for criminally inclined persons. Segregated from society, he argues, they have become responsible for their own survival in an anarchic urban hell which is characterized by bloody gang wars.  Welcome to Arkham City Wayne, as the latest focus of Sharp's vendetta, is kidnapped by TYGER Security operatives working for Hugo Strange, who is privy to his dual identity as Batman. Strange intends to unveil new plans for Arkham City before the night is up, an operation codenamed Protocol 10, which will establish himself as supreme ruler of Gotham. Now an inmate, the Dark Knight manages to have Alfred Pennyworth deliver his crimefighting equipment to him directly via an airdrop, and he prepares to save Catwoman from Two-Face for the sake of their past relationship while uncovering the true nature of Protocol 10.",93.66915619816132,133
Red Dead Redemption 2,"5,12,31","170,48,6,49","9,64,129,153,221,250,509,623,1033,1293,1308,1309,1431,1576,1710,1961,2071,2219,2424,3433,3586,4004,4135,4357,4446,6248,6370,6716,7062,11478,12087,12556,14051,16877,23933,24235,27054,28294,38071,39023,39866,42121,42298,44753,44930,49308,49583",21326,1540512000,"America, 1899. The end of the wild west era has begun as lawmen hunt down the last remaining outlaw gangs. Those who will not surrender or succumb are killed.  After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him.",93.6620385534622,3180
The Binding of Isaac: Repentance,"5,12,31,32,33","169,48,6,167,49","416,1102,1186,1305,2228,17292",13776,1617148800,"Repentance takes Isaac to new depths of roguelike dungeon adventure, as the brave boy descends into the basement for his greatest challenge yet! Isaac’s new quest includes unknown places he’s never been, filled with horrible new enemies and bosses, weapon combos you’ve never synergized before and items he’s never seen… unholy terrors from his wildest dreams and worst nightmares!",93.63475393179081,69
World of Warcraft: Wrath of the Lich King,12,"6,14","96,4250,4469,4877,5806,9092,9384",,1226534400,"For years, the heroes of the Alliance and Horde have fought against the evils in Kalimdor and the Eastern Kingdoms, against the demons of the Burning Legion in Outland, and against each other - all the while unaware that a threat more dangerous than any they had yet encountered was preparing to make its move in the icy continent of Northrend. Now the Lich King, Arthas Menethil, has emerged from Icecrown Citadel to claim the world as his own. Heroes of the Alliance and Horde gather in Northrend to make a stand against the malevolent being that dares to declare himself Azeroth's one true king...and seeks to scour all life from the world.",93.52127692065346,284
Mass Effect 2,"5,12,31","9,6,12","3,22,72,129,159,274,284,558,562,563,575,578,588,789,816,947,962,989,1033,1058,1097,1102,1158,1186,1198,1293,1309,1313,1329,1423,1440,1523,1699,1710,1886,1887,1961,1971,2052,2071,2141,2167,2177,2242,2628,3228,3486,3586,3831,4138,4179,4192,4245,4249,4250,4266,4272,4273,4287,4310,4345,4353,4359,4360,4397,4399,4406,4410,4468,4520,4541,4578,4580,4613,4615,4621,4623,4711,4726,4730,4770,4780,4823,4843,4850,4852,4854,4855,4862,4869,4890,4891,4897,4918,4927,4956,4974,4999,5000,5029,5106,5150,5211,5257,5323,5329,5397,5451,5455,5466,5494,5599,5633,5639,5640,5651,5657,5691,5744,5818,5823,5850,5886,5905,5909,5941,5963,5988,6007,6009,6064,6075,6084,6141,6189,6230,6244,6295,6304,6324,6542,6619,6623,6648,6745,6752,6813,6846,6863,6962,7105,7108,7114,7117,7185,7351,7384,7400,7473,7576,7593,7603,7627,7643,7649,7698,8196,8205,8262,8844,8848,8866,8981,8983,9000,9005,9006,9045,9071,9182,9313,9339,9341,9343,9366,9404,9578,9596,9835,9900,9989,10031,10325,10492,10618,11278,11533,12067,12306,12365,12388,12517,12763,13068,13082,23856,23933,24168",,1264464000,"Two years after Commander Shepard repelled invading Reapers bent on the destruction of organic life, a mysterious new enemy has emerged. On the fringes of known space, something is silently abducting entire human colonies. Now Shepard must work with Cerberus, a ruthless organization devoted to human survival at any cost, to stop the most terrifying threat mankind has ever faced.  To even attempt this perilous mission, Shepard must assemble the galaxy's most elite team and command the most powerful ship ever built. Even then, they say it would be suicide. Commander Shepard intends to prove them wrong.",93.5101641466063,2598
Heroes of Might and Magic III: Complete,"12,15,16","3,6,14",,,970444800,"Receiving news of her father's death, Catherine Ironfist, Queen of Enroth, sails for Erathia to attend her father's funeral. Fearing the worst, she assembles a military fleet as her escort. Arriving on the coast of Erathia, Catherine finds an allied wizard's tower, devastated from battle and abandoned. There she learns Erathia is falling to its enemies. Mustering local armies, Catherine marches to Erathia's capitol, restoring lost land along the way. Rescuing Erathia's besieged capitol, Catherine learns her father was poisoned with a goblet of wine. Setting herself up as queen, Catherine goes to war to restore Erathia's borders and discover her father's murderer. In the course of war, in an attempt to counter Catherine's recent successes, her enemies resurrect her buried father as an undead lich and make him general of their armies. Fighting her dead father's undead armies on the battlefield, Catherine continues her murder investigation and learns one of her most trusted generals was responsible. At the war'sconclusion, Catherine and her armies surround the last standing. Battling to the throne room, Catherine and her generals come face-to-face with Erathia's former king, now their undead enemy. From her assembled generals, Catherine points out the traitor. The undead king attacks and kills his murderer as Erathia's allied generals stand by and watch. Hunched over the dead body of his killer, the lich turns to the woman he named Catherine and once called daughter. Using a spell book, Catherine summons a lightning bolt from the sky and destroys her undead father. Sitting to the throne of her vanquished enemy, Catherine speaks, ""Rest in peace father.""",93.47775589340046,186
Grand Theft Auto V: Premium Online Edition,"5,10,14,31","48,6,49",,,1524182400,"The Grand Theft Auto V: Premium Online Edition includes the complete Grand Theft Auto V story experience, free access to the ever evolving Grand Theft Auto Online and all existing gameplay upgrades and content including The Doomsday Heist, Gunrunning, Smuggler’s Run, Bikers and much more. You’ll also get the Criminal Enterprise Starter Pack, the fastest way to jumpstart your criminal empire in Grand Theft Auto Online.",93.38647662434968,53
Mass Effect Trilogy,"5,12,31","9,6,12",,23365,1352160000,"Experience all three award winning Mass Effect titles at an amazing value with the Mass Effect Trilogy.  As Commander Shepard, rise to become the galaxy’s most elite soldier and lead an all-out war to stop an ancient and ruthless enemy: the Reapers. With over 75 hours of content and more than 300 awards, one of gaming’s most acclaimed franchises is available for the first time in a premium foiled box set.  Heart-pounding action meets gripping interactive storytelling where you decide how your unique story unfolds. Assemble and lead your team aboard the SSV Normandy, the most advanced ship in the galaxy, and travel to distant and unexplored star systems. On your journey, meet a cast of intriguing characters each with their own story to tell. Wield devastating weapons and customize them with upgrades to create new and devastating attacks. All the thrilling action and your decisions culminate into a heroic battle against the greatest threat ever known.  The fate of the galaxy lies in your hands—how will you chose to fight for it?",93.23831056700689,595
Persona 5,"12,31","9,48","78,175,215,221,236,311,415,509,510,521,558,1209,1244,1289,1299,1313,1504,1523,2016,2071,2147,2170,2184,2199,2377,2390,2399,2452,3486,4241,4245,4284,4287,4397,4410,4468,4497,4541,4710,4711,4768,4787,4850,4852,4918,4970,5029,5264,5314,5323,5377,5399,5400,5485,5963,6020,6064,6117,6141,6241,6461,6648,7048,7080,7112,7334,7540,7653,8900,9182,9331,9364,9376,12083,12087,12556,23933,25963,38828,39009,39040,39041,39049",,1473897600,"The story focuses on the 16-year-old protagonist after he is transferred to Syujin High School in Tokyo, Japan. Staying with friends of his parents, he meets up with problem child Ryuji Sakamoto, the withdrawn Ann Takamaki, art student Yusuke Kitagawa, and a talking, shape-shifting cat-like creature known as Morgana.  During the protagonist's time there, feeling suppressed by their environment, the five form a group known as the ""Phantom Thieves of Hearts"", working together to explore the ""Palace"", a castle created by the hearts of people, and steal ill intent from others' hearts to help them: during this quest, they confront adult authority figures opposing them, along with a greater enemy revealed by their activities.",93.1366768946987,1015
Superfighters Deluxe,"4,5,8,32",6,,,1543536000,"Superfighters Deluxe is a multiplayer 2D action game where little flat-headed men fight to the death in small and highly destructible arenas. Surviving each round takes skill, strategy and luck.",93.00621261589889,85
